Symbol;Position;Type;Open time;Open price;Close time;Close price;Profit;Net profit
AUDUSD;1028836534;Buy;25.07.2023 06:58:21;0.6759;25.07.2023 09:33:05;0.67727;5.48;5.48
NZDUSD;1027926411;Buy Stop;24.07.2023 11:52:32;0.62026;24.07.2023 14:20:11;0.61922;-4.17;-4.17
GBPUSD;1027935993;Sell Stop;24.07.2023 12:01:34;1.28326;24.07.2023 13:16:15;1.28426;-4.01;-4.01
EURUSD;1027997655;Sell Stop;24.07.2023 13:05:45;1.10898;24.07.2023 13:16:07;1.10999;-4.05;-4.05
USDCAD;1027926056;Sell Stop;24.07.2023 11:52:18;1.31883;24.07.2023 12:27:41;1.31983;-3.05;-3.05
GBPJPY;1026393200;Buy Stop;21.07.2023 08:56:44;180.829;21.07.2023 09:18:53;180.729;-2.85;-2.85
GBPJPY;1026382805;Buy Stop;21.07.2023 08:39:54;180.685;21.07.2023 08:42:07;180.586;-2.82;-2.82
GBPUSD;1025133218;Sell Stop;20.07.2023 09:52:34;1.29082;20.07.2023 10:03:37;1.29184;-4.05;-4.05
GBPUSD;1025091619;Sell Stop;20.07.2023 09:24:01;1.29199;20.07.2023 09:31:43;1.29303;-4.13;-4.13
GBPUSD;1025076787;Sell Stop;20.07.2023 09:12:42;1.29149;20.07.2023 09:21:03;1.29255;-4.21;-4.21
EURJPY;1024181212;Buy;19.07.2023 15:15:06;156.503;19.07.2023 15:31:53;156.635;3.74;3.74
GBPJPY;1024161598;Sell;19.07.2023 14:59:40;180.362;19.07.2023 15:31:53;180.224;3.92;3.92
AUDUSD;1024171790;Sell;19.07.2023 15:06:53;0.67747;19.07.2023 15:31:53;0.67815;-2.69;-2.69
GBPUSD;1024161357;Sell;19.07.2023 14:59:25;1.29133;19.07.2023 15:31:53;1.29069;2.54;2.54
CADJPY;1023768374;Buy Limit;19.07.2023 09:08:40;105.768;19.07.2023 10:51:52;106.072;8.62;8.62
EURJPY;1023731078;Buy Limit;19.07.2023 08:43:00;156.37;19.07.2023 09:34:40;156.618;7.03;7.03
GBPJPY;1023745662;Sell Limit;19.07.2023 08:55:56;180.783;19.07.2023 09:12:07;180.494;8.21;8.21
NZDUSD;1023754027;Sell Stop;19.07.2023 09:02:03;0.6245;19.07.2023 09:06:14;0.62552;-4.04;-4.04
USDCHF;1023737730;Buy Stop;19.07.2023 08:47:51;0.85939;19.07.2023 08:50:36;0.85836;-4.75;-4.75
GBPUSD;1023731433;Sell Stop;19.07.2023 08:43:26;1.29388;19.07.2023 08:47:23;1.29541;-6.07;-6.07
GBPJPY;1023731887;Sell Stop;19.07.2023 08:43:45;180.558;19.07.2023 08:44:48;180.663;-2.99;-2.99
